"STT","Mã Đơn Vị","Tỉnh / Thành Phố","Quận / Huyện / Khu Vực","Tên Phường / Xã","Phân Loại","Diện Tích (km²)","Dân Số (người)","Mật Độ (người/km²)","Tên Trụ Sở UBND","Địa Chỉ UBND Thực Tế","Vĩ Độ UBND (Lat)","Kinh Độ UBND (Lng)","Google Maps UBND","Tên Trụ Sở Công An","Địa Chỉ Công An Thực Tế","Google Maps Công An","Website / Cổng TTĐT","Nguồn Đối Soát","Trạng Thái Kiểm Tra","Ghi Chú AI Senior"
"11","00049","Thành phố Hà Nội","Quận Đống Đa","Phường Láng Hạ","Phường","1.65","45000","27273","Trụ sở UBND Phường Láng Hạ","Số 11 Ngõ 59 Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, TP. Hà Nội","21.018","105.812","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20L%C3%A1ng%20H%E1%BA%A1%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Láng Hạ","Số 69 Phố Thái Hà, Phường Láng Hạ, Quận Đống Đa, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20L%C3%A1ng%20H%E1%BA%A1%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://dongda.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"12","00052","Thành phố Hà Nội","Quận Đống Đa","Phường Kim Liên","Phường","1.35","41200","30519","Trụ sở UBND Phường Kim Liên","Số 17 Phố Lương Định Của, Phường Kim Liên, Quận Đống Đa, TP. Hà Nội","21.009","105.835","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Kim%20Li%C3%AAn%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Kim Liên","Số 19 Phố Lương Định Của, Phường Kim Liên, Quận Đống Đa, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Kim%20Li%C3%AAn%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://dongda.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"13","00058","Thành phố Hà Nội","Quận Đống Đa","Phường Quang Trung","Phường","1.15","32400","28174","Trụ sở UBND Phường Quang Trung","Số 168 Phố Đặng Tiến Đông, Phường Quang Trung, Quận Đống Đa, TP. Hà Nội","21.012","105.824","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Quang%20Trung%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Quang Trung","Số 166 Phố Đặng Tiến Đông, Phường Quang Trung, Quận Đống Đa, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Quang%20Trung%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://dongda.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"14","00061","Thành phố Hà Nội","Quận Hai Bà Trưng","Phường Bách Khoa","Phường","1.45","39500","27241","Trụ sở UBND Phường Bách Khoa","Số 39 Phố Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, TP. Hà Nội","21.005","105.845","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20B%C3%A1ch%20Khoa%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Bách Khoa","Số 41 Phố Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20B%C3%A1ch%20Khoa%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://haibatrung.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"15","00064","Thành phố Hà Nội","Quận Hai Bà Trưng","Phường Vĩnh Tuy","Phường","2.1","48600","23143","Trụ sở UBND Phường Vĩnh Tuy","Số 457 Phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, TP. Hà Nội","21.002","105.868","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20V%C4%A9nh%20Tuy%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Vĩnh Tuy","Số 34 Phố Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20V%C4%A9nh%20Tuy%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://haibatrung.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"16","00067","Thành phố Hà Nội","Quận Hai Bà Trưng","Phường Bạch Đằng","Phường","1.3","33200","25538","Trụ sở UBND Phường Bạch Đằng","Số 698 Phố Bạch Đằng, Phường Bạch Đằng, Quận Hai Bà Trưng, TP. Hà Nội","21.014","105.86","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20B%E1%BA%A1ch%20%C4%90%E1%BA%B1ng%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Bạch Đằng","Số 700 Phố Bạch Đằng, Phường Bạch Đằng, Quận Hai Bà Trưng, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20B%E1%BA%A1ch%20%C4%90%E1%BA%B1ng%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://haibatrung.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"17","00073","Thành phố Hà Nội","Quận Hai Bà Trưng","Phường Minh Khai","Phường","1.6","42100","26313","Trụ sở UBND Phường Minh Khai","Số 197 Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, TP. Hà Nội","20.998","105.853","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Minh%20Khai%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Minh Khai","Số 199 Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Minh%20Khai%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://haibatrung.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"18","00076","Thành phố Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng","Phường","2.3","52000","22609","Trụ sở UBND Phường Dịch Vọng","Số 45 Phố Khúc Thừa Dụ, Phường Dịch Vọng, Quận Cầu Giấy, TP. Hà Nội","21.035","105.792","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20D%E1%BB%8Bch%20V%E1%BB%8Dng%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Dịch Vọng","Số 86 Phố Thành Thái, Phường Dịch Vọng, Quận Cầu Giấy, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20D%E1%BB%8Bch%20V%E1%BB%8Dng%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://caugiay.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"19","00079","Thành phố Hà Nội","Quận Cầu Giấy","Phường Nghĩa Tân","Phường","1.85","46800","25297","Trụ sở UBND Phường Nghĩa Tân","Số 45 Phố Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy, TP. Hà Nội","21.045","105.798","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Ngh%C4%A9a%20T%C3%A2n%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Nghĩa Tân","Số 43 Phố Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Ngh%C4%A9a%20T%C3%A2n%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://caugiay.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"20","00082","Thành phố Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Phường","2.6","54200","20846","Trụ sở UBND Phường Mai Dịch","Số 07 Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, TP. Hà Nội","21.041","105.779","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Mai%20D%E1%BB%8Bch%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Mai Dịch","Số 09 Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Mai%20D%E1%BB%8Bch%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://caugiay.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"21","00085","Thành phố Hà Nội","Quận Cầu Giấy","Phường Trung Hòa","Phường","3.1","68500","22097","Trụ sở UBND Phường Trung Hòa","Số 18 Phố Nguyễn Thị Định, Phường Trung Hòa, Quận Cầu Giấy, TP. Hà Nội","21.011","105.798","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Trung%20H%C3%B2a%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Trung Hòa","Số 20 Phố Nguyễn Thị Định, Phường Trung Hòa, Quận Cầu Giấy, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Trung%20H%C3%B2a%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://caugiay.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"22","00088","Thành phố Hà Nội","Quận Tây Hồ","Phường Bưởi","Phường","2.2","38400","17455","Trụ sở UBND Phường Bưởi","Số 555 Phố Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, TP. Hà Nội","21.048","105.819","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20B%C6%B0%E1%BB%9Fi%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Bưởi","Số 553 Phố Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20B%C6%B0%E1%BB%9Fi%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://tayho.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"23","00091","Thành phố Hà Nội","Quận Tây Hồ","Phường Nhật Tân","Phường","4.8","36200","7542","Trụ sở UBND Phường Nhật Tân","Số 444 Phố Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, TP. Hà Nội","21.075","105.818","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Nh%E1%BA%ADt%20T%C3%A2n%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Nhật Tân","Số 442 Phố Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Nh%E1%BA%ADt%20T%C3%A2n%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://tayho.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"24","00094","Thành phố Hà Nội","Quận Tây Hồ","Phường Quảng An","Phường","3.6","29500","8194","Trụ sở UBND Phường Quảng An","Số 02 Phố Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, TP. Hà Nội","21.065","105.832","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Qu%E1%BA%A3ng%20An%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Quảng An","Số 04 Phố Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Qu%E1%BA%A3ng%20An%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://tayho.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
